"","regCoefNovelty","precision","nDCG","N_nDCG","EPC"
"1",0,0.111808510638298,0.116937902907848,0.0722626393616544,0.0384365545143692
"2",0.1,0.115,0.119990215285893,0.0931084626217654,0.0425731323784519
"3",0.2,0.111063829787234,0.115325029937986,0.106049141773482,0.0451649065982138
"4",0.3,0.105425531914894,0.11039979951369,0.147030167198493,0.0544880774220951
"5",0.4,0.107765957446809,0.112341623830107,0.180464108777132,0.0486065681598144
"6",0.5,0.10468085106383,0.106275367297402,0.183425518961299,0.0590515374853838
"7",0.6,0.101170212765957,0.103634818062204,0.202352765024169,0.0542277128003979
"8",0.7,0.100531914893617,0.0991268866411157,0.239628366743372,0.0716395832040568
"9",0.8,0.107234042553191,0.107548106901201,0.224439993150742,0.0606570083007832
"10",0.9,0.108723404255319,0.111870648906663,0.220815341484922,0.064420583038498
"11",1,0.103404255319149,0.106343144796033,0.233816139313752,0.0734673363835038
