"","regCoefNovelty","precision","nDCG","N_nDCG","EPC"
"1",0,0.0768083733600975,0.0829489029876107,0.165220330610482,0.10428884083872
"2",0.1,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"3",0.2,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"4",0.3,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"5",0.4,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"6",0.5,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"7",0.6,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"8",0.7,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"9",0.8,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"10",0.9,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
"11",1,0.0315334432575812,0.0368017793107775,0.302702187274244,0.0989479923033814
