"","regCoefNovelty","precision","nDCG","N_nDCG","EPC"
"1",0,0.117417964865761,0.127687586492932,0.100167269380449,0.0399085981628505
"2",0.1,0.116788200198873,0.126196166161836,0.147965413003628,0.0483952901070308
"3",0.2,0.115296652303613,0.119966454416001,0.246640752829822,0.057707109787382
"4",0.3,0.105783891282731,0.106929150904376,0.325723431171467,0.0675459595775318
"5",0.4,0.0983592973152138,0.0965912483020116,0.401193721169953,0.0777930528555399
"6",0.5,0.088249917136228,0.0841895062866836,0.449902256452263,0.0847483191999907
"7",0.6,0.0765992707988068,0.0715050060693787,0.522443104617542,0.0994534680783795
"8",0.7,0.0785714285714286,0.0752413453114955,0.465025956904676,0.0856124823791156
"9",0.8,0.0700861783228373,0.0651598298854695,0.489077118095799,0.0764372027386945
"10",0.9,0.0261020881670534,0.0326514313668301,0.0933029537367089,0.0236241708248451
"11",1,0.0261020881670534,0.0326514313668301,0.0933029537367089,0.0236241708248451
