"","regCoefNovelty","precision","nDCG","N_nDCG","EPC"
"1",0,0.118254099718403,0.128868868905342,0.173862749283193,0.111044670670229
"2",0.1,0.0861851913201922,0.0896482869816014,0.16271711738843,0.130898961570194
"3",0.2,0.0549113798244161,0.0533097135013546,0.201705257636759,0.144265886038623
"4",0.3,0.0194798741096571,0.0192651540840985,0.27895076734653,0.232597815857387
"5",0.4,0.0141626635746232,0.0144488069860541,0.294764807059662,0.281846016896058
"6",0.5,0.025476229915521,0.03213050950686,0.285657806491081,0.180524912390117
"7",0.6,0.025476229915521,0.03213050950686,0.285657806491081,0.180524912390117
"8",0.7,0.00849759814477389,0.00840636711584038,0.3590452146225,0.343716361193475
"9",0.8,0.00904422726519795,0.00889402513375844,0.368360311388824,0.34653202656836
"10",0.9,0.00796753354315057,0.00814104461435638,0.376478471462308,0.350027813341914
"11",1,0.025476229915521,0.03213050950686,0.285657806491081,0.180524912390117
