"","regCoefNovelty","precision","nDCG","N_nDCG","EPC"
"1",0,0.0778480377396367,0.0839904588136742,0.0808557087337641,0.0459163554598748
"2",0.1,0.0787614172438021,0.0789275960978249,0.342344201884675,0.0898018086725167
"3",0.2,0.0684174302060481,0.0678516967765415,0.314337145443647,0.0705409189836336
"4",0.3,0.0310348288668072,0.0361511498011187,0.0691927913733954,0.0336065970653496
"5",0.4,0.0310348288668072,0.0361511498011187,0.0691927913733954,0.0336065970653496
"6",0.5,0.0310348288668072,0.0361511498011187,0.0691927913733954,0.0336065970653496
"7",0.6,0.0310348288668072,0.0361511498011187,0.0691927913733954,0.0336065970653496
"8",0.7,0.0310348288668072,0.0361511498011187,0.0691927913733954,0.0336065970653496
"9",0.8,0.0310348288668072,0.0361511498011187,0.0691927913733954,0.0336065970653496
"10",0.9,0.0310348288668072,0.0361511498011187,0.0691927913733954,0.0336065970653496
"11",1,0.0310348288668072,0.0361511498011187,0.0691927913733954,0.0336065970653496
