"","regCoefNovelty","precision","nDCG","N_nDCG","EPC"
"1",0,0.104042553191489,0.10188119690269,0.403087182666528,0.139669220327496
"2",0.1,0.0879787234042553,0.089789919535338,0.365394839811115,0.154883220483631
"3",0.2,0.0756382978723404,0.0801064591968818,0.264341768197846,0.17573142642434
"4",0.3,0.0629787234042553,0.0649695921321862,0.252310675046565,0.199367991106872
"5",0.4,0.0576595744680851,0.0596140584533475,0.250407365035655,0.217039211129528
"6",0.5,0.0535106382978723,0.0556945604696672,0.250894031160397,0.225897297623465
"7",0.6,0.0488297872340425,0.04853797626287,0.248387532117792,0.234547770800749
"8",0.7,0.0446808510638298,0.0449799198411571,0.249812089385665,0.240738814417689
"9",0.8,0.044468085106383,0.0424472780171467,0.244143663316253,0.238045758999898
"10",0.9,0.0446808510638298,0.0454221752280617,0.243260995547836,0.241101403474528
"11",1,0.0504255319148936,0.0526037263377383,0.242160760665729,0.240509223945689
