"","regCoefNovelty","precision","nDCG","N_nDCG"
"1",0,0.120633079217766,0.131451402703956,0.0929729017565067
"2",0.1,0.118660921445144,0.128808965454742,0.138302950291631
"3",0.2,0.116075571760027,0.123038797086729,0.202586512378746
"4",0.3,0.112843884653629,0.113299754625508,0.307424033378699
"5",0.4,0.0987570434206165,0.0963403718996708,0.403304935329126
"6",0.5,0.0876367252237322,0.0829561202963404,0.473243697706667
"7",0.6,0.0788365926416971,0.0748074083450222,0.525189667881113
"8",0.7,0.077709645343056,0.0730856278853457,0.475298412637392
"9",0.8,0.0702519058667551,0.06294528084223,0.544218381108295
"10",0.9,0.0251740139211137,0.0320763789220866,0.0925234259269834
"11",1,0.0251740139211137,0.0320763789220866,0.0925234259269834
